deutsch, russian, correct, incorrect
präsentieren, представлять, 0, 2
der Freund, друг, 1, 1
die Chefinnen, руководительница, 1, 1
telefonieren, звонить, 1, 1
sehr, очень, 1, 1
das Kino, кинотеатр, 0, 2
der Geburtstag, день рождения, 1, 1
in, в, 1, 1
der Sommer, лето, 1, 1
in der Nacht, ночью, 1, 1
Urlaub machen, отправиться в отпуск, 0, 2
Woher?, Откуда?, 2, 1
die Karte, билет, 1, 1
toll, большой, 0, 2
mittags, в полдень, 1, 1
die SMS, смс, 0, 3
das Auto, автомобиль, 1, 1
die Nummer, номер, 0, 2
der Tag, день, 1, 1
hast du Last?, не хочешь ли ты?, 0, 2
die Deutsche, немка, 1, 1
Australien, Австралия, 1, 1
der Mittwoch, среда, 1, 1
die Mutter, мама, 1, 1
noch, пока что, 0, 2
Wo?, Куда?, 0, 2
Europa, Европа, 1, 1
das Formular, формуляр, 1, 1
schlecht, плохой, 1, 1
der Japaner, японский, 0, 2
sammeln, собирать, 0, 2
auch, также, 1, 1
haben, иметь, 1, 1
die Türkin, турчанка, 1, 1
korrigieren, поправлять, 1, 1
der Vater, папа, 0, 2
der Freitag, пятница, 1, 1
passen, подходить, 1, 1
Frankreich, Франция, 0, 2
England, Англия, 1, 1
der Termin, встреча, 1, 1
der Herbst, осень, 1, 1
der Oktober, октябрь, 1, 1
die Klassik, классический, 0, 2
noch, еще, 0, 2
das Telefon, телефон, 1, 1
die Nationalität, национальность, 0, 2
die Email, электронная почта, 0, 2
einmal, один раз, 1, 1
das Restaurant, ресторан, 1, 1
klein, маленький, 1, 1
die Gruppe, группа, 1, 1
der Herr, мужчина, 0, 2
der Student, студент, 1, 1
Vorname, имя, 0, 2
Wie?, Как?, 1, 1
die Freundin, подруга, 1, 1
die Rockmusik, рок-музыка, 0, 2
die Popmusik, поп-музыка, 1, 1
der Flug, полет, 0, 2
die Partnerin, партнерша, 1, 1
sicher, надежный, 0, 2
zählen, подсчет, 0, 2
privat, частный, 0, 2
am Vormittag, поздним утром, 0, 2
beginnen, начинать, 1, 1
kennen, знать, 1, 1
die Kathedrale, собор, 1, 1
der Monat, месяц, 1, 1
die Museen, музеи, 1, 1
der Dienstag, вторник, 1, 1
Amerika, Америка, 1, 1
Actionfilm, боевик, 0, 2
die Mobilnummer, номер мобильного, 0, 2
Uhrzeit, время дня, 0, 1
das Team, команда, 0, 1
grüßen, здороваться, 0, 1
finden, искать, 0, 1
Jahreszahl, номер года, 0, 1
der November, ноябрь, 0, 1
das Konzert, концерт, 0, 1
antworten, отвечать, 0, 1
die Praktikantin, стажерка, 0, 1
Chinesisch, китайский язык, 0, 1
die Woche, неделя, 1, 1
der Markt, магазин, 0, 1
der Gesang, пение, 0, 1
der Januar, январь, 0, 1
singen, петь, 0, 1
interessant, интересно, 0, 1
das Jahr, год, 0, 1
in Urlaub fahren, уехать в отпуск, 0, 1
Kinofilm, кинофильм, 0, 1
funktionieren, функционировать, 0, 1
der Kurs, курс, 0, 1
der Friseur, парикмахер, 0, 1
der Februar, февраль, 0, 1
Japan, Япония, 0, 1
die Straße, улица, 0, 1
schrecklich, ужасный, 0, 1
die Gruppe, группа, 0, 1
das Wetter, погода, 0, 1
der Buchstabe, буква, 1, 1
falsch, неверный, 0, 1
die Sonne, солнце, 0, 1
das Wochenende, выходные, 0, 1
am Abend, вечером, 0, 1
buchstabieren, диктовать по буквам, 0, 1
einfach, легко, 0, 1
gut, хорошо, 1, 1
der Winter, зима, 0, 1
der Teilnehmer, участник, 0, 1
der Gruß, поздравление, 0, 1
das Foto, фото, 0, 1
der Film, фильм, 0, 1
richtig, верный, 0, 1
lernen, учить, 0, 1
der Park, парк, 0, 1
lesen, читать, 0, 1
die Sekretärin, секретарка, 0, 1
der August, август, 0, 1
der Franzose, Француз, 0, 1
geboren sein, родиться, 0, 1
die Besprechung, встреча, 0, 1
das Cafe, кафе, 0, 1
fragen, спрашивать, 0, 1
der Hit, хит, 1, 1
der Ausflug, полет, 0, 1
heißen, называться, 0, 1
vorstellen, представлять, 0, 2
sein, его, 0, 1
die Studentin, студентка, 0, 1
blöd, глупый, 0, 1
der Donnerstag, четверг, 0, 1
der Personalbogen, лист личной информации, 0, 1
das Gespräch, разговор, 0, 1
der Zettel, листок, 0, 1
Türkisch, турецкий, 0, 1
populär, популярный, 0, 1
morgens, утром, 0, 1
der Wohnort, место жительства, 0, 1
die Antwort, ответ, 0, 1
notieren, записывать, 0, 1
gehen, идти, 0, 1
der Sonntag, воскресенье, 0, 1
die Vorwahl, код города, 0, 1
der Beruf, профессия, 0, 1
Feiertag, праздничный день, 0, 1
zusammen, все вместе, 0, 1
Französisch, французкий язык, 0, 1
die Japanerin, японский, 0, 1
Asien, Азия, 0, 1
der Spanier, испанец, 0, 1
der Kollege, коллега, 0, 1
der Dialog, диалог, 0, 1
der Stil, стиль, 0, 1
Afrika, Африка, 0, 1
nach Hause fahren, ехать домой, 0, 1
die Frage, вопрос, 0, 1
geben, давать, 0, 1
der Kurs, курс, 0, 1
der Chor, хор, 0, 1
das Treffen, встреча, 0, 1
die Zahl, число, 0, 1
der Juli, июль, 0, 1
die Stadt, город, 0, 1
der Engländer, англичанин, 0, 1
das Grad, степень, 0, 1
das Museum, музей, 0, 1
der Mensch, человек, 0, 1
der Jazz, джаз, 0, 1
die Sprache, язык, 0, 1
Spanien, Испания, 0, 1
der März, март, 0, 1
China, Китай, 0, 1
die Natur, природа, 0, 1
der Terminkalender, календарь встреч, 0, 1
nachmittags, после обеда, 0, 1
gern, охотно, 0, 1
langweilig, скучный, 0, 1
besuchen, посещать, 0, 1
der Kontinent, континент, 0, 1
die Direktorinnen, директор-женщина, 0, 1
der Deutsche, немец, 0, 1
wohnen, жить, 0, 1
vormittags, поздним утро, 0, 2
morgen, завтра, 0, 1
der Direktor, директор, 0, 1
das Plakat, плакат, 0, 1
Familienname, фамилия, 0, 1
planen, планировать, 0, 1
das Tier, животное, 0, 1
abends, вечером, 0, 1
kommen, приходить, 0, 1
brauchen, нуждаться, 0, 1
Englisch, английский, 0, 1
Herzlich willkommen!, Добро пожаловать!, 0, 1
am Morgen, утром, 0, 1
neu, новый, 0, 1
der Frühling, весна, 0, 1
das Datum, дата, 0, 1
schön, прекрасный, 0, 1
der Juni, июнь, 0, 1
die Zeit, время, 0, 1
das Hotel, гостиница, 0, 1
die CDs, компакт-диски, 0, 1
schreiben, писать, 1, 1
Spanisch, испанский, 0, 1
die Öffnungszeit, часы работы, 0, 2
nachts, ночью, 0, 1
der Notizzettel, записка, 0, 1
hoffentlich, с надеждой, 0, 1
die Konferenz, конференция, 0, 1
das Essen, еда, 0, 1
die Zahl, число, 0, 1
Anfang, начало, 0, 1
produzieren, производить, 0, 1
die Spanierin, испанка, 0, 1
die Kollegin, коллега, 0, 1
erst, первый, 0, 1
der Regen, дождь, 0, 1
der Kalender, календарь, 0, 1
der Partner, партнер, 0, 1
die Musikgruppen, музыкальные группы, 0, 1
die Frau, женщина, 0, 1
der Telefonkonferenz, телефонная конференция, 0, 1
der Chinese, китаец, 0, 1
typisch, типичный, 0, 1
total, общее, 0, 1
die Französin, француженка, 0, 1
der September, сентябрь, 0, 1
Deutsch, немецкий, 0, 1
die Telefonnummer, номер телефона, 0, 1
die Ausstellungn, выставки, 0, 1
das Chansons, шансон, 1, 1
der Urlaub, отпуск, 0, 1
Deutschland, Германия, 0, 1
der Türke, турок, 0, 1
die Adresse, адрес, 0, 1
der Chefs, руководитель, 0, 1
nett, милый, 0, 1
machen, делать, 0, 1
der Beginn, начало, 0, 1
der Montag, понедельник, 0, 1
leider, к сожалению, 0, 1
es gibt, есть, 0, 1
die Teilnehmerin, участница, 0, 1
Nachname, Фамилия, 0, 1
hören, слушать, 0, 1
das Alphabet, алфавит, 0, 1
das Telefongespräch, телефонный звонок, 0, 1
teuer, дорогой, 0, 1
die Engländerin, англичанка, 0, 1
der April, апрель, 0, 1
begrüßen, приветствовать, 0, 1
Freut mich!, Я рад!, 0, 1
das Liedr, песня, 0, 1
zeigen, указывать, 0, 1
die Band, группа, 0, 1
schon, уже, 0, 1
tauschen, обменивать, 0, 1
sprechen, разговаривать, 0, 1
Ende, конец, 0, 1
am Nachmittag, после обеда, 0, 1
Türkei, Турция, 0, 1
der Praktikant, стажер, 0, 1
gründen, основывать, 0, 1
der Sport, спорт, 0, 1
aus, вне, 0, 1
der Name, имя, 0, 1
die Hausnummer, номер дома, 0, 1
der Dezember, декабрь, 0, 1
die Chinesin, китаянка, 0, 1
der Sekretär, секретарь, 0, 1
der Samstag, суббота, 0, 1
die Postleitzahl, почтовый индекс, 0, 1
malen, рисовать, 0, 1
der Mai, май, 0, 1
heute, сегодня, 0, 1
Japanisch, японский, 0, 1
Viel Spaß!, Желаю хорошо провести время!, 0, 1
arbeiten, работать, 0, 1
die Handynummer, номер мобильного, 0, 1
